,Total Cohort (Mean),Total Cohort (Std),% Nans,Survivors (Mean),Survivors (Median),Survivors (Min),Survivors (Max),Non-Survivors (Mean),Non-Survivors (Median),Non-Survivors (Min),Non-Survivors (Max),p-value_raw,Significant,p-value,corr_with_target,Type,outliers_count,outliers_pct
age,67.28547987616099,16.11824078776097,0.0,66.35957170923379,67.32,18.02,91.4,69.0559053343351,70.73,20.58,91.4,4.669967166300268e-07,True,4.67e-07,0.07944401263660497,Categorical,11,0.2837977296181631
length_of_stay_days,15.114293085655314,17.280399996588127,0.0,15.985461689587426,11.0,0.0,294.0,13.448534936138241,8.0,0.0,206.0,2.353418378622142e-05,True,2.35e-05,-0.06972031181908,Categorical,217,5.598555211558308
vasopressor,0.7211042311661506,0.4485140121206295,0.0,0.6557956777996071,1.0,0.0,1.0,0.8459804658151766,1.0,0.0,1.0,7.24515141824344e-43,True,7.25e-43,0.20015104004345283,Numerical,0,0.0
mechanical_ventilation,0.5606295149638802,0.4963744850564891,0.0,0.47426326129666013,0.0,0.0,1.0,0.7257700976709242,1.0,0.0,1.0,3.1885865976617295e-55,True,3.19e-55,0.2395731329508655,Numerical,0,0.0
rrt_dialysis,0.15479876160990713,0.36175940785290955,0.0,0.12180746561886051,0.0,0.0,1.0,0.21788129226145755,0.0,0.0,1.0,2.488343036021692e-13,True,2.49e-13,0.12435340533776544,Numerical,600,15.479876160990713
Lab_Alanine Aminotransferase (ALT)_max,170.7855598789451,643.9555925734459,40.3250773993808,134.22683923705722,36.0,1.0,16270.0,234.298224852071,41.0,3.0,11732.0,0.0007899813182817784,True,7.90e-04,0.07484514686381077,Categorical,294,7.5851393188854495
"Lab_Calcium, Total_max",8.133542063708141,0.9295657526470771,5.23735810113519,8.074887156339763,8.0,5.5,13.7,8.249190938511326,8.2,3.8,27.4,2.329730121089563e-06,True,2.33e-06,0.08861390911618705,Categorical,98,2.5283797729618165
Lab_Hematocrit_max,32.517664194915255,5.3516414959813785,2.5799793601651184,32.36533386645342,31.9,19.7,58.2,32.8164705882353,32.3,19.1,60.5,0.017658152893488436,True,1.77e-02,0.03987113826136795,Categorical,57,1.4705882352941175
Lab_Neutrophils_max,78.25974472263131,18.363219986289465,47.44582043343653,80.04777298850574,84.2,0.0,99.0,74.40093023255814,82.0,0.0,98.0,8.38447517808691e-09,True,8.38e-09,-0.14307769369317355,Categorical,145,3.740970072239422
Lab_RDW_max,16.16795727636849,2.425569084316023,3.3797729618163053,15.806972994760176,15.3,11.7,29.7,16.87650316455696,16.5,11.8,30.9,3.6003499670230826e-34,True,3.60e-34,0.2085318899618461,Categorical,105,2.708978328173375
Lab_Anion Gap_mean,15.272297906175458,4.247680584023516,2.6573787409700724,14.554122351059576,14.0,7.0,31.75,16.684371069182387,16.0,6.0,50.6,1.9272679894195407e-37,True,1.93e-37,0.23710986223478153,Categorical,166,4.282765737874096
Lab_Lactate_mean,2.66530062707488,2.3520987040617696,30.056759545923633,2.0759924690693925,1.7,0.5,10.3,3.9511267605633797,2.615,0.6,26.27,8.805474796353217e-49,True,8.81e-49,0.3701578137644423,Categorical,239,6.166150670794634
Lab_Albumin_min,2.681583287520616,0.6061533751980571,53.07017543859649,2.7296712802768166,2.7,1.2,5.3,2.597737556561086,2.5,1.0,4.5,1.3909398977991004e-05,True,1.39e-05,-0.10478417169794477,Categorical,10,0.2579979360165119
Lab_Base Excess_min,-6.08375,6.682091008504424,38.080495356037154,-5.014030612244898,-5.0,-30.0,19.0,-8.099759615384615,-8.0,-33.0,13.0,5.0835087862354643e-23,True,5.08e-23,-0.219816021730816,Categorical,44,1.1351909184726523
Lab_Bicarbonate_min,20.42282838983051,5.489237445510207,2.5799793601651184,20.68092762894842,20.0,5.0,42.0,19.916549019607842,20.0,5.0,45.0,0.0001707379336191471,True,1.71e-04,-0.06586185755039549,Categorical,46,1.1867905056759547
Lab_Lactate Dehydrogenase (LD)_min,499.45938529088914,1311.6671184397771,52.99277605779154,348.90681622088005,242.0,38.0,8690.0,762.6425339366516,309.0,48.0,40050.0,3.6893925953030857e-07,True,3.69e-07,0.15179892865692357,Categorical,202,5.21155830753354
Lab_Temperature_min,36.629849849849855,1.2261686101896683,57.04334365325078,36.76123388581952,36.7,18.9,41.1,36.38341968911917,36.4,31.1,40.1,3.314231070571717e-09,True,3.31e-09,-0.14679068375788296,Categorical,81,2.089783281733746
Vital_GCS Total_max,12.137532133676093,3.4935464731962282,59.85552115583075,12.699029126213592,15.0,3.0,15.0,11.038022813688213,11.0,3.0,15.0,9.066994627369312e-16,True,9.07e-16,0.2655308327007541,Numerical,0,0.0
Vital_Hematocrit_max,32.85076046836089,5.152362426077027,59.28792569659442,32.60599430712147,32.0,21.200000762939453,52.700000762939446,33.33889943508315,32.79999923706055,21.100000381469727,52.900001525878906,0.0092006611024903,True,9.20e-03,0.0671086767425699,Categorical,17,0.43859649122807015
Vital_GCS - Eye Opening_mean,3.126320400500626,0.9959942198039541,58.77192982456141,3.278849480968858,3.67,1.0,4.0,2.727398190045249,3.0,1.0,4.0,3.66689708858133e-19,True,3.67e-19,-0.24774194669754268,Categorical,0,0.0
Vital_GCS - Motor Response_mean,5.0408025078369905,1.4110167394079816,58.84932920536635,5.272952380952381,6.0,1.0,6.0,4.43140909090909,5.0,1.0,6.0,6.641636855435176e-20,True,6.64e-20,-0.26664725898682107,Categorical,124,3.199174406604747
Vital_Heart Rate_mean,91.71143714466204,17.682001348208253,18.317853457172344,90.54172224760165,89.52,48.33,154.97,94.33222108495394,94.28,40.56,158.5,8.259177745175074e-08,True,8.26e-08,0.09903593329067265,Categorical,9,0.23219814241486067
Vital_Mental status_mean,9.358391248391248,6.5753778939497085,59.907120743034056,8.664372791519435,11.25,0.0,15.0,11.220071090047393,15.0,0.0,15.0,2.4358911528372516e-13,True,2.44e-13,0.19869422947940585,Numerical,0,0.0
Vital_O2 saturation pulseoxymetry_mean,96.45613991255465,3.6011632447602606,58.694530443756456,96.98079447322971,97.16499999999999,77.2,100.0,95.08469525959369,96.52,54.67,100.0,4.877048248409008e-11,True,4.88e-11,-0.2356235715923459,Categorical,57,1.4705882352941175
Vital_Respiratory Rate_mean,21.232420986093555,4.73674804022762,18.369453044375643,20.881352833638022,20.439999999999998,9.54,40.87,22.019446721311475,21.76,8.59,41.52,1.599589129204932e-09,True,1.60e-09,0.11098864288438917,Categorical,40,1.0319917440660475
Vital_Carbon Dioxide_min,19.58529784537389,5.45181108232578,59.28792569659442,20.050094517958414,20.0,6.0,42.0,18.639615384615386,18.0,5.0,45.0,7.564323775204842e-06,True,7.56e-06,-0.12164689467492369,Categorical,22,0.5675954592363261
Vital_GCS - Verbal Response_min,2.739811912225705,1.8610822972595713,58.84932920536635,2.9488291413703385,4.0,1.0,5.0,2.1945701357466065,1.0,1.0,5.0,5.5527927150581694e-14,True,5.55e-14,0.17544652894965485,Numerical,0,0.0
Vital_SpO2_min,87.56775850995504,15.79178672416908,59.82972136222911,89.99419167473378,93.0,0.0,100.0,82.78435114503817,91.0,0.0,100.0,8.498904112301826e-13,True,8.50e-13,-0.21580479521969673,Categorical,176,4.540763673890609
Vital_Temp_Unified_min,36.014233034848324,3.2830373051180657,18.78224974200206,36.19296773608851,36.16666581895616,-17.77777777777778,98.3,35.61050723970745,35.888888888888886,-17.77777777777778,39.9,4.1055333878669e-06,True,4.11e-06,-0.08183533439807174,Categorical,135,3.48297213622291
Vital_Respiratory Rate (Total) Unified_mean,21.84849079754601,5.50214595600256,57.946336429308566,21.01139742319128,20.38,0.0,50.17,23.208599033816427,22.8,10.0,53.0,1.7467279242297795e-14,True,1.75e-14,0.1939879889439381,Categorical,13,0.3353973168214654
Lab_Sodium_Unified_mean,138.77936243386245,5.563001053925534,2.476780185758514,139.18367412140574,139.0,115.25,171.6,137.98594827586209,138.0,116.0,162.67,1.406970327585329e-09,True,1.41e-09,-0.10182547216713339,Categorical,152,3.9215686274509802
Lab_Creatinine_Unified_min,1.79672131147541,1.6208147000985689,2.4251805985552117,1.6825219473264164,1.2,0.1,15.7,2.021003134796238,1.4,0.2,13.4,2.90873966542184e-09,True,2.91e-09,0.09875360047731567,Categorical,318,8.204334365325078
Lab_Bilirubin_Unified_max,2.7725128644939967,5.222790537782512,39.834881320949435,2.0218390804597703,0.8,0.0,60.5,4.074091441969519,1.2,0.1,40.2,4.328848700453934e-16,True,4.33e-16,0.18930032005301078,Categorical,275,7.094943240454077
Lab_Urea_Unified_min,34.65600211528292,25.000499644581062,2.4251805985552117,31.61437125748503,25.0,2.0,182.0,40.62255285826155,33.0,2.0,170.0,6.845020650067307e-23,True,6.85e-23,0.1704212150120015,Categorical,159,4.102167182662539
